xd,xla1,xla2,xm,xl,ar,aa,ah,br,ba,bh,xb,yb
27,8,4,78,118,0,0,0,0,0,0,29,7.6
3,1,1,38,139,40,0,0,1,0,0,40,26.44
5,7,5,84,92,0.1,0,0,1,0,0,0.1,0.1
10,31,7,65,115,50,0,0,1,0,0,50,16.78
8,5,4,52,89,0,0,5.3,0,0,1,5.3,11.21
1,7,1,80,102,4.5,0,0,1,0,0,4.5,0.13
4,4,1,58,108,0,111,0,0,1,0,111,13.4
2,2,9,73,107,11,0,0,1,0,0,11,0.16
5,7,1,58,96,0,0,4.8,0,0,1,4.8,26.04
8,8,8,27,109,0,0,19,0,0,1,19,6.57
12,31,1,76,104,10,0,0,1,0,0,10,1.21
6,5,1,60,104,0,0,0,0,0,0,33,14.85
13,1,63,55,113,35,0,0,1,0,0,35,13.11
7,13,5,48,112,0,0,0,0,0,0,35,10.55
1,6,6,45,100,12,0,0,1,0,0,12,4.79
6,6,2,77,119,11,0,0,1,0,0,11,0.26
6,7,2,66,118,0,0,0,0,0,0,12,3
25,9,17,72,132,50,0,0,1,0,0,50,5.58
7,22,2,63,135,68,0,0,1,0,0,68,4.95
2,6,4,78,91,5,0,5,5,0,5,5,5.99
8,22,8,44,152,0,0,0,0,0,0,250,166.01
6,10,18,75,147,0,0,0,0,0,0,250,179.14
11,16,8,52,144,0,0,0,0,0,0,178,65.77
9,1,16,77,106,0,0,0,0,0,0,175,103.26
4,8,11,36,115,0,0,0,0,0,0,125,10.28
1,11,10,35,114,0,0,0,0,0,0,115,19.45
10,14,7,32,102,0,0,0,0,0,0,40,35.24
4,4,41,34,113,0,0,0,0,0,0,170,26.86
2,2,5,77,97,0,200,0,0,1,0,200,135.06
1,5,2,43,97,0,73,0,0,1,0,73,38.16
8,15,1,44,110,0,0,0,0,0,0,180,38.53
2,3,8,34,94,0,105,0,0,1,0,105,21.37
8,11,2,68,122,0,0,0,0,0,0,185,59.25
8,4,7,66,132,0,0,0,0,0,0,180,74.4
9,6,5,33,120,0,0,0,0,0,0,110,29.03
